benchmark,shape,method,thread,parameter,time(s),speedup
matmul,"(16, 16, 16, 10)",triton,32,"(16, 64, 16)",0.00180694,5.7482
matmul,"(16, 16, 16, 10)",triton,32,"(16, 64, 32)",0.00184537,5.6285
matmul,"(16, 16, 16, 10)",triton,32,"(16, 64, 64)",0.00182457,5.6927
matmul,"(16, 16, 16, 10)",triton,32,"(32, 4, 8)",0.0538828,0.1928
matmul,"(16, 16, 16, 10)",triton,32,"(32, 4, 16)",0.0155049,0.6699
matmul,"(16, 16, 16, 10)",triton,32,"(32, 4, 32)",0.0197108,0.527
matmul,"(16, 16, 16, 10)",triton,32,"(32, 4, 64)",0.0209227,0.4964
matmul,"(16, 16, 16, 10)",triton,32,"(32, 8, 8)",0.0232253,0.4472
matmul,"(16, 16, 16, 10)",triton,32,"(32, 8, 16)",0.0233963,0.4439
matmul,"(16, 16, 16, 10)",triton,32,"(32, 8, 32)",0.0350557,0.2963
matmul,"(16, 16, 16, 10)",triton,32,"(32, 8, 64)",0.0890714,0.1166
matmul,"(16, 16, 16, 10)",triton,32,"(32, 16, 8)",0.00203176,5.1122
matmul,"(16, 16, 16, 10)",triton,32,"(32, 16, 16)",0.00263761,3.9379
matmul,"(16, 16, 16, 10)",triton,32,"(32, 16, 32)",0.00231187,4.4928
matmul,"(16, 16, 16, 10)",triton,32,"(32, 16, 64)",0.00265076,3.9184
matmul,"(16, 16, 16, 10)",triton,32,"(32, 32, 8)",0.00235341,4.4135
matmul,"(16, 16, 16, 10)",triton,32,"(32, 32, 16)",0.00227206,4.5715
matmul,"(16, 16, 16, 10)",triton,32,"(32, 32, 32)",0.00257984,4.0261
matmul,"(16, 16, 16, 10)",triton,32,"(32, 32, 64)",0.00280004,3.7095
matmul,"(16, 16, 16, 10)",triton,32,"(32, 32, 128)",0.00298862,3.4754
matmul,"(16, 16, 16, 10)",triton,32,"(32, 64, 8)",0.00270317,3.8424
matmul,"(16, 16, 16, 10)",triton,32,"(32, 64, 16)",0.00260509,3.9871
matmul,"(16, 16, 16, 10)",triton,32,"(32, 64, 32)",0.00262128,3.9625
matmul,"(16, 16, 16, 10)",triton,32,"(32, 64, 64)",0.00221153,4.6966
matmul,"(16, 16, 16, 10)",triton,32,"(64, 4, 8)",0.0730365,0.1422
matmul,"(16, 16, 16, 10)",triton,32,"(64, 4, 16)",0.0249733,0.4159
matmul,"(16, 16, 16, 10)",triton,32,"(64, 4, 32)",0.0148388,0.7
matmul,"(16, 16, 16, 10)",triton,32,"(64, 4, 64)",0.0297211,0.3495
matmul,"(16, 16, 16, 10)",triton,32,"(64, 8, 8)",0.0274299,0.3787
matmul,"(16, 16, 16, 10)",triton,32,"(64, 8, 16)",0.0232452,0.4468
matmul,"(16, 16, 16, 10)",triton,32,"(64, 8, 32)",0.025419,0.4086
matmul,"(16, 16, 16, 10)",triton,32,"(64, 8, 64)",0.020562,0.5051
matmul,"(16, 16, 16, 10)",triton,32,"(64, 16, 8)",0.00234575,4.4279
matmul,"(16, 16, 16, 10)",triton,32,"(64, 16, 16)",0.00250943,4.1391
matmul,"(16, 16, 16, 10)",triton,32,"(64, 16, 32)",0.0023484,4.4229
matmul,"(16, 16, 16, 10)",triton,32,"(64, 16, 64)",0.00275985,3.7635
matmul,"(16, 16, 16, 10)",triton,32,"(64, 32, 8)",0.00230242,4.5112
matmul,"(16, 16, 16, 10)",triton,32,"(64, 32, 16)",0.00211047,4.9215
matmul,"(16, 16, 16, 10)",triton,32,"(64, 32, 32)",0.00245277,4.2347
