benchmark,shape,method,thread,parameter,time(s),speedup
resize,"(64, 256, 1, 100)",triton,4,"(4,)",0.0648507,3.444
resize,"(64, 256, 1, 100)",triton,4,"(8,)",0.073685,3.0311
resize,"(64, 256, 1, 100)",triton,4,"(16,)",0.074375,3.0029
resize,"(64, 256, 1, 100)",triton,4,"(32,)",0.0802695,2.7824
resize,"(64, 256, 1, 100)",triton,8,"(4,)",0.036694,6.0866
resize,"(64, 256, 1, 100)",triton,8,"(8,)",0.0408146,5.4721
resize,"(64, 256, 1, 100)",triton,8,"(16,)",0.0408697,5.4648
resize,"(64, 256, 1, 100)",triton,8,"(32,)",0.0441027,5.0642
resize,"(128, 32, 1, 100)",triton,1,"(4,)",0.0639977,0.9337
resize,"(128, 32, 1, 100)",triton,1,"(8,)",0.072516,0.824
resize,"(128, 32, 1, 100)",triton,1,"(16,)",0.0736588,0.8112
resize,"(128, 32, 1, 100)",triton,1,"(32,)",0.0792775,0.7537
resize,"(128, 32, 1, 100)",triton,4,"(4,)",0.0207113,2.885
resize,"(128, 32, 1, 100)",triton,4,"(8,)",0.0229806,2.6001
resize,"(128, 32, 1, 100)",triton,4,"(16,)",0.0231688,2.579
resize,"(128, 32, 1, 100)",triton,4,"(32,)",0.0248026,2.4091
resize,"(128, 32, 1, 100)",triton,8,"(4,)",0.0142255,4.2004
resize,"(128, 32, 1, 100)",triton,8,"(8,)",0.015443,3.8692
resize,"(128, 32, 1, 100)",triton,8,"(16,)",0.0155556,3.8412
resize,"(128, 32, 1, 100)",triton,8,"(32,)",0.0159756,3.7402
resize,"(128, 64, 1, 100)",triton,1,"(4,)",0.122959,0.9324
resize,"(128, 64, 1, 100)",triton,1,"(8,)",0.139445,0.8222
resize,"(128, 64, 1, 100)",triton,1,"(16,)",0.141414,0.8107
resize,"(128, 64, 1, 100)",triton,1,"(32,)",0.152788,0.7504
resize,"(128, 64, 1, 100)",triton,4,"(4,)",0.0360623,3.1791
resize,"(128, 64, 1, 100)",triton,4,"(8,)",0.0401884,2.8527
resize,"(128, 64, 1, 100)",triton,4,"(16,)",0.0401463,2.8557
resize,"(128, 64, 1, 100)",triton,4,"(32,)",0.0434516,2.6385
resize,"(128, 64, 1, 100)",triton,8,"(4,)",0.0215773,5.3133
resize,"(128, 64, 1, 100)",triton,8,"(8,)",0.0236413,4.8494
resize,"(128, 64, 1, 100)",triton,8,"(16,)",0.0241666,4.744
resize,"(128, 64, 1, 100)",triton,8,"(32,)",0.0254635,4.5024
resize,"(128, 128, 1, 100)",triton,1,"(4,)",0.24118,0.9273
resize,"(128, 128, 1, 100)",triton,1,"(8,)",0.273963,0.8163
resize,"(128, 128, 1, 100)",triton,1,"(16,)",0.278176,0.804
resize,"(128, 128, 1, 100)",triton,1,"(32,)",0.299945,0.7456
resize,"(128, 128, 1, 100)",triton,4,"(4,)",0.0654773,3.4156
resize,"(128, 128, 1, 100)",triton,4,"(8,)",0.0737715,3.0316
resize,"(128, 128, 1, 100)",triton,4,"(16,)",0.0746882,2.9944
resize,"(128, 128, 1, 100)",triton,4,"(32,)",0.0803409,2.7837
resize,"(128, 128, 1, 100)",triton,8,"(4,)",0.0368266,6.0729
resize,"(128, 128, 1, 100)",triton,8,"(8,)",0.0410538,5.4476
resize,"(128, 128, 1, 100)",triton,8,"(16,)",0.0413632,5.4068
resize,"(128, 128, 1, 100)",triton,8,"(32,)",0.0442932,5.0492
