benchmark,shape,method,thread,parameter,time(s),speedup
matmul,"(32, 32, 32, 10)",triton,8,"(4, 16, 32)",0.0149066,1.6127
matmul,"(32, 32, 32, 10)",triton,8,"(4, 32, 4)",0.024034,1.0002
matmul,"(32, 32, 32, 10)",triton,8,"(4, 32, 8)",0.0147319,1.6318
matmul,"(32, 32, 32, 10)",triton,8,"(4, 32, 16)",0.012374,1.9427
matmul,"(32, 32, 32, 10)",triton,8,"(4, 32, 32)",0.0125006,1.9231
matmul,"(32, 32, 32, 10)",triton,8,"(8, 4, 4)",0.0117654,2.0432
matmul,"(32, 32, 32, 10)",triton,8,"(8, 4, 8)",0.0118207,2.0337
matmul,"(32, 32, 32, 10)",triton,8,"(8, 4, 16)",0.022271,1.0794
matmul,"(32, 32, 32, 10)",triton,8,"(8, 4, 32)",0.0231766,1.0372
matmul,"(32, 32, 32, 10)",triton,8,"(8, 8, 4)",0.0178464,1.347
matmul,"(32, 32, 32, 10)",triton,8,"(8, 8, 8)",0.0128485,1.871
matmul,"(32, 32, 32, 10)",triton,8,"(8, 8, 16)",0.0172875,1.3906
matmul,"(32, 32, 32, 10)",triton,8,"(8, 8, 32)",0.0135804,1.7702
matmul,"(32, 32, 32, 10)",triton,8,"(8, 16, 4)",0.0134421,1.7884
matmul,"(32, 32, 32, 10)",triton,8,"(8, 16, 8)",0.0127485,1.8857
matmul,"(32, 32, 32, 10)",triton,8,"(8, 16, 16)",0.0144479,1.6639
matmul,"(32, 32, 32, 10)",triton,8,"(8, 16, 32)",0.0139081,1.7284
matmul,"(32, 32, 32, 10)",triton,8,"(8, 32, 4)",0.0129339,1.8586
matmul,"(32, 32, 32, 10)",triton,8,"(8, 32, 8)",0.0130952,1.8357
matmul,"(32, 32, 32, 10)",triton,8,"(8, 32, 16)",0.0131617,1.8265
matmul,"(32, 32, 32, 10)",triton,8,"(8, 32, 32)",0.0130237,1.8458
matmul,"(32, 32, 32, 10)",triton,8,"(16, 4, 4)",0.0134032,1.7936
matmul,"(32, 32, 32, 10)",triton,8,"(16, 4, 8)",0.0128854,1.8656
matmul,"(32, 32, 32, 10)",triton,8,"(16, 4, 16)",0.0134594,1.7861
matmul,"(32, 32, 32, 10)",triton,8,"(16, 4, 32)",0.0130566,1.8412
matmul,"(32, 32, 32, 10)",triton,8,"(16, 8, 4)",0.0165816,1.4498
matmul,"(32, 32, 32, 10)",triton,8,"(16, 8, 8)",0.0131507,1.828
matmul,"(32, 32, 32, 10)",triton,8,"(16, 8, 16)",0.0132623,1.8126
matmul,"(32, 32, 32, 10)",triton,8,"(16, 8, 32)",0.0133288,1.8036
matmul,"(32, 32, 32, 10)",triton,8,"(16, 16, 4)",0.0132182,1.8187
matmul,"(32, 32, 32, 10)",triton,8,"(16, 16, 8)",0.0128426,1.8718
matmul,"(32, 32, 32, 10)",triton,8,"(16, 16, 16)",0.0135504,1.7741
matmul,"(32, 32, 32, 10)",triton,8,"(16, 16, 32)",0.0136242,1.7645
matmul,"(32, 32, 32, 10)",triton,8,"(16, 32, 4)",0.0131823,1.8236
matmul,"(32, 32, 32, 10)",triton,8,"(16, 32, 8)",0.0128874,1.8653
matmul,"(32, 32, 32, 10)",triton,8,"(16, 32, 16)",0.0133187,1.8049
matmul,"(32, 32, 32, 10)",triton,8,"(16, 32, 32)",0.0129005,1.8634
matmul,"(32, 32, 32, 10)",triton,8,"(32, 4, 4)",0.0135513,1.774
matmul,"(32, 32, 32, 10)",triton,8,"(32, 4, 8)",0.0131446,1.8288
matmul,"(32, 32, 32, 10)",triton,8,"(32, 4, 16)",0.0138302,1.7382
matmul,"(32, 32, 32, 10)",triton,8,"(32, 4, 32)",0.0354854,0.6774
matmul,"(32, 32, 32, 10)",triton,8,"(32, 8, 4)",0.0132765,1.8107
matmul,"(32, 32, 32, 10)",triton,8,"(32, 8, 8)",0.0130548,1.8414
matmul,"(32, 32, 32, 10)",triton,8,"(32, 8, 16)",0.0131037,1.8346
matmul,"(32, 32, 32, 10)",triton,8,"(32, 8, 32)",0.0127586,1.8842
matmul,"(32, 32, 32, 10)",triton,8,"(32, 16, 4)",0.0132673,1.8119
